2023-08-24 15:21:05.137980: W tensorflow/stream_executor/platform/default/dso_loader.cc:64] Could not load dynamic library 'libcudart.so.11.0'; dlerror: libcudart.so.11.0: cannot open shared object file: No such file or directory
2023-08-24 15:21:05.138022: I tensorflow/stream_executor/cuda/cudart_stub.cc:29] Ignore above cudart dlerror if you do not have a GPU set up on your machine.
2023-08-24 15:21:09.759363: W tensorflow/stream_executor/platform/default/dso_loader.cc:64] Could not load dynamic library 'libcuda.so.1'; dlerror: libcuda.so.1: cannot open shared object file: No such file or directory
2023-08-24 15:21:09.759396: W tensorflow/stream_executor/cuda/cuda_driver.cc:269] failed call to cuInit: UNKNOWN ERROR (303)
2023-08-24 15:21:09.759419: I tensorflow/stream_executor/cuda/cuda_diagnostics.cc:156] kernel driver does not appear to be running on this host (bnode0316.rc.int.colorado.edu): /proc/driver/nvidia/version does not exist
2023-08-24 15:21:09.759779: I tensorflow/core/platform/cpu_feature_guard.cc:151] This TensorFlow binary is optimized with oneAPI Deep Neural Network Library (oneDNN) to use the following CPU instructions in performance-critical operations:  AVX2 FMA
To enable them in other operations, rebuild TensorFlow with the appropriate compiler flags.
WARNING:tensorflow:No training configuration found in the save file, so the model was *not* compiled. Compile it manually.
/projects/etpi5866/igm2/igm/modules/preproc/optimize.py:736: RuntimeWarning: invalid value encountered in divide
  costs[:, i] /= np.max(costs[:, i])
WARNING:tensorflow:No training configuration found in the save file, so the model was *not* compiled. Compile it manually.
                   Step  |  ICE_VOL |  COST_U  |  COST_H  |  COST_D  |  COST_S  |   REGU_H |   REGU_S | COST_GLEN  
OPTI 16:20:11 :      560 |    22.52 |   521.54 |     0.00 |     0.00 |     0.13 |   256.17 |     1.99 |    -0.44 |
OPTI 16:21:15 :      570 |    22.51 |   520.94 |     0.00 |     0.00 |     0.13 |   256.22 |     2.08 |    -0.44 |
OPTI 16:22:18 :      580 |    22.51 |   520.02 |     0.00 |     0.00 |     0.14 |   256.31 |     2.17 |    -0.44 |
OPTI 16:23:22 :      590 |    22.50 |   519.19 |     0.00 |     0.00 |     0.14 |   256.47 |     2.27 |    -0.44 |
OPTI 16:24:26 :      600 |    22.50 |   518.63 |     0.00 |     0.00 |     0.15 |   256.61 |     2.37 |    -0.44 |
OPTI 16:25:29 :      610 |    22.49 |   517.59 |     0.00 |     0.00 |     0.16 |   256.77 |     2.47 |    -0.44 |
OPTI 16:26:32 :      620 |    22.49 |   516.83 |     0.00 |     0.00 |     0.16 |   256.94 |     2.57 |    -0.44 |
OPTI 16:27:37 :      630 |    22.48 |   515.51 |     0.00 |     0.00 |     0.17 |   257.16 |     2.68 |    -0.44 |
OPTI 16:28:41 :      640 |    22.48 |   514.67 |     0.00 |     0.00 |     0.18 |   257.37 |     2.79 |    -0.44 |
OPTI 16:29:45 :      650 |    22.47 |   513.83 |     0.00 |     0.00 |     0.18 |   257.58 |     2.91 |    -0.44 |
OPTI 16:30:48 :      660 |    22.47 |   512.75 |     0.00 |     0.00 |     0.19 |   257.77 |     3.03 |    -0.44 |
OPTI 16:31:51 :      670 |    22.46 |   511.64 |     0.00 |     0.00 |     0.20 |   257.94 |     3.15 |    -0.44 |
OPTI 16:32:55 :      680 |    22.46 |   510.84 |     0.00 |     0.00 |     0.20 |   258.08 |     3.27 |    -0.44 |
OPTI 16:34:00 :      690 |    22.45 |   510.15 |     0.00 |     0.00 |     0.21 |   258.26 |     3.39 |    -0.44 |
OPTI 16:35:04 :      700 |    22.45 |   509.62 |     0.00 |     0.00 |     0.22 |   258.44 |     3.52 |    -0.44 |
OPTI 16:36:09 :      710 |    22.44 |   508.39 |     0.00 |     0.00 |     0.22 |   258.66 |     3.65 |    -0.44 |
OPTI 16:37:13 :      720 |    22.44 |   507.43 |     0.00 |     0.00 |     0.23 |   258.87 |     3.79 |    -0.44 |
OPTI 16:38:17 :      730 |    22.43 |   506.51 |     0.00 |     0.00 |     0.24 |   259.08 |     3.92 |    -0.44 |
OPTI 16:39:21 :      740 |    22.43 |   505.72 |     0.00 |     0.00 |     0.25 |   259.32 |     4.06 |    -0.44 |
OPTI 16:40:25 :      750 |    22.42 |   504.85 |     0.00 |     0.00 |     0.25 |   259.59 |     4.20 |    -0.44 |
OPTI 16:41:29 :      760 |    22.42 |   503.79 |     0.00 |     0.00 |     0.26 |   259.88 |     4.35 |    -0.44 |
OPTI 16:42:33 :      770 |    22.41 |   503.36 |     0.00 |     0.00 |     0.27 |   260.13 |     4.50 |    -0.44 |
OPTI 16:43:37 :      780 |    22.41 |   502.24 |     0.00 |     0.00 |     0.28 |   260.44 |     4.64 |    -0.44 |
OPTI 16:44:41 :      790 |    22.40 |   501.44 |     0.00 |     0.00 |     0.29 |   260.70 |     4.79 |    -0.44 |
OPTI 16:45:45 :      800 |    22.40 |   500.88 |     0.00 |     0.00 |     0.29 |   260.93 |     4.94 |    -0.44 |
OPTI 16:46:49 :      810 |    22.39 |   500.11 |     0.00 |     0.00 |     0.30 |   261.19 |     5.09 |    -0.43 |
OPTI 16:47:53 :      820 |    22.39 |   499.57 |     0.00 |     0.00 |     0.31 |   261.36 |     5.24 |    -0.43 |
OPTI 16:48:57 :      830 |    22.38 |   499.02 |     0.00 |     0.00 |     0.32 |   261.56 |     5.40 |    -0.43 |
OPTI 16:50:02 :      840 |    22.38 |   498.44 |     0.00 |     0.00 |     0.33 |   261.73 |     5.55 |    -0.44 |
OPTI 16:51:06 :      850 |    22.37 |   497.54 |     0.00 |     0.00 |     0.34 |   261.93 |     5.70 |    -0.44 |
OPTI 16:52:11 :      860 |    22.37 |   496.89 |     0.00 |     0.00 |     0.35 |   262.13 |     5.86 |    -0.44 |
OPTI 16:53:15 :      870 |    22.36 |   496.63 |     0.00 |     0.00 |     0.36 |   262.31 |     6.01 |    -0.44 |
OPTI 16:54:19 :      880 |    22.36 |   496.28 |     0.00 |     0.00 |     0.37 |   262.45 |     6.17 |    -0.44 |
OPTI 16:55:23 :      890 |    22.35 |   495.56 |     0.00 |     0.00 |     0.38 |   262.56 |     6.33 |    -0.44 |
OPTI 16:56:28 :      900 |    22.34 |   494.62 |     0.00 |     0.00 |     0.39 |   262.67 |     6.49 |    -0.44 |
OPTI 16:57:32 :      910 |    22.34 |   493.83 |     0.00 |     0.00 |     0.40 |   262.78 |     6.65 |    -0.44 |
OPTI 16:58:37 :      920 |    22.33 |   493.54 |     0.00 |     0.00 |     0.41 |   262.87 |     6.80 |    -0.44 |
OPTI 16:59:42 :      930 |    22.33 |   493.25 |     0.00 |     0.00 |     0.42 |   262.95 |     6.96 |    -0.44 |
OPTI 17:00:45 :      940 |    22.32 |   492.87 |     0.00 |     0.00 |     0.43 |   263.02 |     7.11 |    -0.44 |
OPTI 17:01:49 :      950 |    22.32 |   491.84 |     0.00 |     0.00 |     0.44 |   263.07 |     7.27 |    -0.44 |
OPTI 17:02:53 :      960 |    22.31 |   490.98 |     0.00 |     0.00 |     0.45 |   263.11 |     7.42 |    -0.44 |
OPTI 17:03:56 :      970 |    22.31 |   490.70 |     0.00 |     0.00 |     0.46 |   263.12 |     7.58 |    -0.44 |
OPTI 17:05:01 :      980 |    22.30 |   490.38 |     0.00 |     0.00 |     0.47 |   263.16 |     7.72 |    -0.44 |
OPTI 17:06:05 :      990 |    22.30 |   489.59 |     0.00 |     0.00 |     0.48 |   263.17 |     7.87 |    -0.44 |
IGM %s :         Iterations   |         Time (y)     |     Time Step (y)   |   Ice Volume (km^3) 
IGM 17:07:37 :          30    |          2001        |        0.05        |          22.29 
Computational statistics report:
                      iceflow  |  mean time per it :   1.0191  |  total :  30.5723  |  number it  :       30
                     optimize  |  mean time per it :   6.3460  |  total : 6346.0078  |  number it  :     1000
                    time_step  |  mean time per it :   0.0011  |  total :   0.0345  |  number it  :       30
                          thk  |  mean time per it :   0.0029  |  total :   0.0856  |  number it  :       30
                write_ncdf_ex  |  mean time per it :   0.0476  |  total :   0.0476  |  number it  :        1
